date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,net_buy_dealer_hedging,net_buy_dealer_self,net_buy_foreign_dealer_self,net_buy_foreign_investor,net_buy_investment_trust,total_net_buy
2025-08-20,TAIEX,8611743600,572237896405,24309.27,24309.27,23620.24,23625.44,-683.8300000000017,8241305243.2,7893224760.6,7159513773.25,24206.808,24172.295000000002,23800.053499999998,-0.024016714636642806,-0.022623213890116893,-0.007336685188543778,-5540196143,1915367105,0,-62668571933,-2734736666,-69028137637
2025-08-21,TAIEX,6990398614,420673855060,23739.83,24011.5,23739.83,23962.13,222.29999999999927,8050990496.2,7881597945.8,7192902276.65,24151.614,24168.131,23829.4735,-0.007845604024642011,-0.008523662835160907,0.005566908559687689,1307298361,1099230232,0,-10078910548,1604056355,-6068325600
2025-08-22,TAIEX,6571719689,369732364563,24033.02,24071.65,23764.47,23764.47,-268.5499999999993,7782673987.8,7837742395.2,7223257771.95,24037.612,24142.452,23849.478,-0.011363108781354813,-0.01565632190135451,-0.0035643547418521275,-453809804,-573635339,0,-16397993687,-1163084639,-18588523469
2025-08-25,TAIEX,7201907890,431825644540,24108.81,24362.02,24108.75,24277.38,168.5699999999997,7531122557.0,7834913318.7,7283630126.55,23996.584,24156.640000000003,23892.698,0.011701498846669264,0.004998211671821824,0.016100400214324923,4349395688,1384604238,0,24114791914,3231606250,33080398090
2025-08-26,TAIEX,8259451660,532063118603,24237.36,24382.42,24113.03,24305.1,67.73999999999796,7527044290.6,7909498044.4,7362350638.55,23986.904000000002,24171.314,23947.877,0.013265405156080011,0.005534908031892684,0.014916687604500312,2988533201,335292654,0,-14508100864,-2425226828,-13609501837
2025-08-27,TAIEX,7675360712,467302614203,24449.81,24539.88,24410.08,24519.9,70.09000000000015,7339767713.0,7790536478.1,7441363240.5,24165.796,24186.302000000003,24000.786,0.014653107226428751,0.013792848530544194,0.021629041648886058,8249447023,2815259360,0,-1947570889,-1647591422,7469544072
2025-08-28,TAIEX,7619400963,449197099212,24468.12,24502.37,24236.45,24236.45,-231.66999999999825,7465568182.8,7758279339.5,7468361311.1,24220.660000000003,24186.137,24035.482500000002,0.0006519227799736768,0.0020802412555589976,0.008361284197227944,-1111771071,-237115928,0,-9520531049,-2760035692,-13629453740
2025-08-29,TAIEX,7716714041,478348167874,24438.03,24570.15,24233.1,24233.1,-204.9300000000003,7694567053.2,7738620520.5,7506682774.75,24314.386000000002,24175.999,24075.4185,-0.0033431236963994766,0.002361887920329528,0.006549481164782194,-109418480,443164972,0,-8635002338,-335109173,-8636365019
2025-09-01,TAIEX,7882519521,522538354934,24143.37,24312.83,23885.41,24071.73,-71.63999999999942,7830689379.4,7680905968.2,7573446028.95,24273.256,24134.920000000002,24110.057999999997,-0.008302388439359007,-0.0026181980300743622,-0.0015897099874250698,-8115680864,-2751433877,0,-7666900296,-3059842787,-21593857824
2025-09-02,TAIEX,6868073676,420249878093,24113.9,24295.03,23890.33,24016.78,-97.12000000000262,7552413782.6,7539729036.6,7586349566.75,24215.591999999997,24101.248,24127.8675,-0.008210082165242877,-0.0035047147765958327,-0.004604115966734377,490890927,-1077548032,0,7786239530,-6102683470,1096898955
