date,stock_id,Trading_Volume,Volume_Change,Trading_money,open,max,min,close,close-open,max-min,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,date2,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險),融資餘額(億),融資增減(億),資金走向,資金走向判讀
2025-09-19,TAIEX,9787714693,0.17368677678219518,619694769912,25794.66,25864.01,25578.37,25578.37,-216.29000000000087,285.6399999999994,8099140796.4,8243434123.1,7815084203.75,25554.556,25305.828,24774.6725,0.0009318886229132092,0.01076993015205816,0.03244028755576883,2025-09-19,-12267657124,-15745036443,0,-1937327805,1346021137,4068685987,2688.34779,20.261959999999817,-113.87538876000069,偏重小型股(空)
2025-09-22,TAIEX,7847993700,-0.19817915150175497,482061403631,25599.6,25887.69,25599.6,25880.6,281.0,288.09000000000015,8277072745.4,8251333624.4,7847388494.25,25659.244,25439.15,24854.8335,0.00862675455286211,0.017353174143003875,0.041270302615384565,2025-09-22,-4151157011,-6650808558,0,-5264117265,2908896339,4854872473,2724.58389,36.23610000000008,286.2754701099999,偏重大型股(多)
2025-09-23,TAIEX,8950246446,0.14045025877123218,547004847440,26121.0,26307.3,26041.69,26247.37,126.36999999999898,265.6100000000006,8555030223.6,8337183971.1,7881928233.55,25782.789999999997,25578.369,24951.947,0.01801899639255495,0.026154951474818437,0.051916710146907526,2025-09-23,12274599104,10638719207,0,-1569628564,559066577,2646441884,2728.01313,3.429239999999936,0.19476895999903832,偏重大型股(多)
2025-09-24,TAIEX,7897848080,-0.1175831718544837,515187636594,26389.16,26394.03,26045.47,26196.73,-192.4300000000003,348.5599999999977,8564618633.6,8257605479.9,7893052601.95,25934.485999999997,25678.783,25035.788500000002,0.010111787062215247,0.020170231587688565,0.0463712776611768,2025-09-24,-14565959202,-12950186461,0,-8566887088,3152965887,3798148460,2746.50726,18.49413000000004,-65.26453798000034,偏重小型股(空)
2025-09-25,TAIEX,8846470892,0.1201115547413771,503204151623,26067.97,26247.85,26023.85,26023.85,-44.12000000000262,224.0,8666054762.2,8186888453.4,7954406098.4,25985.384,25759.597,25125.158499999998,0.0014802936912535274,0.010258429120610736,0.03576859027575889,2025-09-25,5382828825,106720086,0,-1741264243,1588402683,5428970299,2752.65205,6.144790000000285,-104.0930782500029,偏重小型股(空)
2025-09-26,TAIEX,8334201118,-0.05790668168741203,500052396638,25998.28,25998.28,25469.04,25580.32,-417.9599999999991,529.239999999998,8375352047.2,8237246421.8,7985280452.25,25985.773999999998,25770.165,25192.5195,-0.015602921814066341,-0.007366852327100007,0.015393478210863397,2025-09-26,-35335558189,-25157852509,0,-5652013477,-139467047,-4386225156,2715.47451,-37.177540000000135,-27.426878109998995,偏重小型股(空)
2025-09-30,TAIEX,6699602406,-0.19613142145917675,455296213373,25738.31,25975.84,25738.31,25820.54,82.22999999999956,237.52999999999884,8145673788.4,8211373266.9,7926134596.5,25973.762,25816.503,25279.96,-0.00589910695262388,0.00015637284414547786,0.021383736366671537,2025-09-30,13242429356,6550967708,0,696563422,3561841572,2433056654,2754.29759,38.82308000000012,-89.01737356000055,偏重小型股(空)
2025-10-01,TAIEX,7679791251,0.14630552465653288,468840061902,26078.29,26325.79,25982.91,25982.91,-95.38000000000102,342.880000000001,7891582749.4,8223306486.5,7966720475.25,25920.870000000003,25851.829999999998,25378.2665,0.0023934381832090216,0.005070434085324008,0.023825248269025715,2025-10-01,16595101819,12664964009,0,633133899,3075916302,221087609,2762.3729,8.075309999999718,-269.40632819000075,偏重小型股(空)
2025-10-02,TAIEX,8085314896,0.05280399320062196,506683446386,26392.31,26489.79,26330.25,26378.39,-13.920000000001892,159.54000000000087,7929076112.6,8246847373.1,8060224327.9,25957.201999999997,25945.844,25492.171,0.016226248114107288,0.016671109253566716,0.03476435961456562,2025-10-02,32469988020,23409818512,0,237157488,3928741172,4894270848,2789.85046,27.477560000000267,-366.09744020000215,偏重小型股(空)
2025-10-03,TAIEX,7784825692,-0.03716481149653914,480095576070,26435.1,26761.06,26410.03,26761.06,325.96000000000276,351.0300000000025,7716747072.6,8191400917.4,8076700749.4,26104.644,26045.014000000003,25621.2315,0.02514556413793657,0.02749263256299261,0.044487654701531404,2025-10-03,21320756058,16959990133,0,-1689575342,2736525762,3313815505,2818.79929,28.948829999999816,83.80360942000294,偏重大型股(多)
