report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,date_distance,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251230,TAIEX,28212.84,-494.2900000000009,-0.017218370488446627,10,20251029_min|20251030_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251212_min|20251223_min,2025-12-23,-4,min,7965662925,311520668.9684829,0.5428571428571428,6934512346.385801,173016640.45932692,0.8285714285714286,"12/23 min [28213] (dis： -494 , -1.72%) (vol_wei_pr ：82.86%)"
TAIEX-60-20251230,TAIEX,28198.02,-509.1100000000006,-0.017734618542501482,9,20251029_close|20251030_close|20251103_close|20251104_close|20251208_close|20251209_close|20251210_close|20251211_close|20251212_close,2025-12-12,-11,close,8508400161,253601211.94092482,0.37142857142857144,5811408570.25079,122594824.51818056,0.4775510204081633,"12/12 close [28198] (dis： -509 , -1.77%) (vol_wei_pr ：47.76%)"
TAIEX-60-20251230,TAIEX,28196.33,-510.7999999999993,-0.0177934889346305,10,20251027_max|20251029_max|20251030_max|20251103_max|20251104_max|20251208_max|20251209_max|20251210_max|20251211_max|20251212_max,2025-10-27,-45,max,9337097751,299664841.69425464,0.5183673469387755,1962883006.9223552,132278509.80146793,0.5591836734693878,"10/27 max [28196] (dis： -511 , -1.78%) (vol_wei_pr ：55.92%)"
TAIEX-60-20251230,TAIEX,28190.76,-516.3700000000026,-0.017987517386795635,10,20251027_open|20251029_open|20251030_open|20251103_open|20251104_open|20251208_open|20251209_open|20251210_open|20251211_open|20251212_open,2025-12-10,-13,open,8239950462,299664841.69425464,0.5183673469387755,5251158214.963182,132278509.80146793,0.5591836734693878,"12/10 open [28191] (dis： -516 , -1.80%) (vol_wei_pr ：55.92%)"
TAIEX-60-20251230,TAIEX,28190.76,-516.3700000000026,-0.017987517386795635,10,20251027_min|20251029_min|20251030_min|20251103_min|20251104_min|20251208_min|20251209_min|20251210_min|20251211_min|20251212_min,2025-12-10,-13,min,8239950462,299664841.69425464,0.5183673469387755,5251158214.963182,132278509.80146793,0.5591836734693878,"12/10 min [28191] (dis： -516 , -1.80%) (vol_wei_pr ：55.92%)"
TAIEX-60-20251230,TAIEX,28187.7,-519.4300000000003,-0.01809411111455587,10,20251027_max|20251029_max|20251030_max|20251103_max|20251104_max|20251111_max|20251208_max|20251209_max|20251211_max|20251212_max,2025-11-11,-34,max,8924063428,285415867.79893064,0.47551020408163264,2746702708.4294705,115897044.68056783,0.4142857142857143,"11/11 max [28188] (dis： -519 , -1.81%) (vol_wei_pr ：41.43%)"
TAIEX-60-20251230,TAIEX,28182.6,-524.5300000000025,-0.018271767327489807,10,20251027_close|20251029_close|20251030_close|20251103_close|20251104_close|20251111_close|20251208_close|20251209_close|20251211_close|20251212_close,2025-12-09,-14,close,8116345692,285415867.79893064,0.47551020408163264,4996196827.740939,115897044.68056783,0.4142857142857143,"12/09 close [28183] (dis： -525 , -1.83%) (vol_wei_pr ：41.43%)"
TAIEX-60-20251230,TAIEX,28168.75,-538.380000000001,-0.01875422586653563,11,20251027_max|20251029_max|20251030_max|20251103_max|20251104_max|20251111_max|20251208_max|20251209_max|20251211_max|20251212_max|20251222_max,2025-12-22,-5,max,8984157012,334754969.408025,0.6163265306122448,7554745425.467323,157386118.35549405,0.7346938775510204,"12/22 max [28169] (dis： -538 , -1.88%) (vol_wei_pr ：73.47%)"
TAIEX-60-20251230,TAIEX,28157.91,-549.2200000000012,-0.019131832405398976,11,20251027_open|20251029_open|20251030_open|20251103_open|20251104_open|20251111_open|20251208_open|20251209_open|20251211_open|20251212_open|20251222_open,2025-10-29,-43,open,9076231278,334754969.408025,0.6163265306122448,2044989409.515097,157386118.35549405,0.7346938775510204,"10/29 open [28158] (dis： -549 , -1.91%) (vol_wei_pr ：73.47%)"
TAIEX-60-20251230,TAIEX,28157.27,-549.8600000000006,-0.019154126518394578,11,20251027_min|20251029_min|20251030_min|20251103_min|20251104_min|20251111_min|20251208_min|20251209_min|20251211_min|20251212_min|20251222_min,2025-12-09,-14,min,8116345692,334754969.408025,0.6163265306122448,4996196827.740939,157386118.35549405,0.7346938775510204,"12/09 min [28157] (dis： -550 , -1.92%) (vol_wei_pr ：73.47%)"
