report,stock_id,price,lastDt_close_distance,lcd%,involve_days,involve_date,date,price_type,volume,vol_weight,vol_wei_pr,vol_adj,vol_wei_adj,vol_wei_pr_adj,remark
TAIEX-60-20251226,TAIEX,28071.34,-484.68,-0.016972954,10,20251027_min|20251028_min|20251104_min|20251111_min|20251112_min|20251208_min|20251211_min|20251212_min|20251215_min|20251222_min,2025/12/12,min,8508400161,310755997.3,0.532653061,6228513486,159754223.2,0.667346939,"12/12 min [28071] (dis： -485 , -1.70%) (vol_wei_pr ：66.73%)"
TAIEX-60-20251226,TAIEX,28061.53,-494.49,-0.017316489,10,20251027_max|20251028_max|20251104_max|20251106_max|20251111_max|20251112_max|20251208_max|20251211_max|20251215_max|20251222_max,2025/11/6,max,7863001986,311610298.4,0.548979592,2337684477,141579795.8,0.544897959,"11/06 max [28062] (dis： -494 , -1.73%) (vol_wei_pr ：54.49%)"
TAIEX-60-20251226,TAIEX,28041.01,-515.01,-0.018035076,10,20251027_open|20251028_open|20251104_open|20251106_open|20251111_open|20251112_open|20251208_open|20251211_open|20251215_open|20251222_open,2025/10/28,open,8579810711,311610298.4,0.548979592,2001311614,141579795.8,0.544897959,"10/28 open [28041] (dis： -515 , -1.80%) (vol_wei_pr ：54.49%)"
TAIEX-60-20251226,TAIEX,28038.24,-517.78,-0.018132079,11,20251027_max|20251028_max|20251104_max|20251106_max|20251111_max|20251112_max|20251113_max|20251208_max|20251211_max|20251215_max|20251222_max,2025/11/13,max,10545273898,358182192.2,0.775510204,3728317341,158045446.7,0.648979592,"11/13 max [28038] (dis： -518 , -1.81%) (vol_wei_pr ：64.90%)"
TAIEX-60-20251226,TAIEX,28034,-522.02,-0.018280559,11,20251027_open|20251028_open|20251104_open|20251106_open|20251111_open|20251112_open|20251113_open|20251208_open|20251211_open|20251215_open|20251222_open,2025/12/8,open,7603908443,358182192.2,0.775510204,4845821158,158045446.7,0.648979592,"12/08 open [28034] (dis： -522 , -1.83%) (vol_wei_pr ：64.90%)"
TAIEX-60-20251226,TAIEX,28033.62,-522.4,-0.018293866,11,20251027_min|20251028_min|20251104_min|20251106_min|20251111_min|20251112_min|20251113_min|20251208_min|20251211_min|20251215_min|20251222_min,2025/11/4,min,8404740088,358182192.2,0.775510204,2331410756,158045446.7,0.648979592,"11/04 min [28034] (dis： -522 , -1.83%) (vol_wei_pr ：64.90%)"
TAIEX-60-20251226,TAIEX,28031.54,-524.48,-0.018366705,10,20251027_open|20251028_open|20251106_open|20251111_open|20251112_open|20251113_open|20251208_open|20251211_open|20251215_open|20251222_open,2025/11/11,open,8924063428,342049943.8,0.67755102,2943843072,153570484.1,0.632653061,"11/11 open [28032] (dis： -524 , -1.84%) (vol_wei_pr ：63.27%)"
TAIEX-60-20251226,TAIEX,28029.88,-526.14,-0.018424837,10,20251027_open|20251028_open|20251106_open|20251111_open|20251112_open|20251113_open|20251208_open|20251211_open|20251215_open|20251222_open,2025/10/27,open,9337097751,342049943.8,0.67755102,2103765917,153570484.1,0.632653061,"10/27 open [28030] (dis： -526 , -1.84%) (vol_wei_pr ：63.27%)"
TAIEX-60-20251226,TAIEX,28026.39,-529.63,-0.018547052,10,20251027_min|20251028_min|20251106_min|20251111_min|20251112_min|20251113_min|20251208_min|20251211_min|20251215_min|20251222_min,2025/12/8,min,7603908443,342049943.8,0.67755102,4845821158,153570484.1,0.632653061,"12/08 min [28026] (dis： -530 , -1.85%) (vol_wei_pr ：63.27%)"
TAIEX-60-20251226,TAIEX,28024.75,-531.27,-0.018604483,9,20251027_close|20251028_close|20251106_close|20251111_close|20251112_close|20251113_close|20251211_close|20251215_close|20251222_close,2025/12/11,close,8087246896,314637605.8,0.579591837,5718547121,136101140.8,0.485714286,"12/11 close [28025] (dis： -531 , -1.86%) (vol_wei_pr ：48.57%)"
